UID,SEX,AGE,JOB,AREA,CITY,INCOME,COFFEE,FLOWERTEA,MILKTEA,TEA,JUICE,INTERNET,EMAIL
735,F,35,AA,north,taipei,41186,T,F,F,F,F,F,F
611,F,36,AA,north,taipei,29636,F,F,T,T,T,T,T
575,F,53,AA,north,taipei,76931,F,F,T,T,T,T,T
183,M,21,AA,north,taipei,31414,F,F,T,T,T,F,F
214,M,62,AA,north,taipei,74041,F,F,T,F,F,T,T
627,M,44,AA,north,taipei,67346,F,T,F,T,F,T,T
674,F,25,AA,north,taipei,45663,F,F,T,F,F,F,F
619,M,50,AA,north,taipei,57995,F,T,F,T,F,T,T
622,F,30,AA,north,taipei,27837,F,T,T,T,T,T,T
620,M,33,AA,north,taipei,41329,T,T,F,T,F,T,T
621,M,40,AA,north,taipei,78266,T,T,T,T,T,T,T
882,M,41,AA,north,taipei,19850,F,F,T,T,T,T,T
884,M,50,AA,north,taipei,41928,T,F,T,F,T,T,T
683,F,33,AA,north,taipei,31278,T,F,T,T,T,T,T
376,M,57,BB,north,taipei,41288,F,T,F,T,F,T,F
885,F,47,AA,north,taipei,17355,T,F,F,T,F,T,T
614,F,25,AA,north,taipei,50841,F,T,T,T,T,T,T
628,F,35,AA,north,taipei,70869,T,T,F,T,F,T,T
186,F,33,AA,north,taipei,71267,F,T,T,T,T,T,T
710,M,59,CC,north,taipei,71747,F,T,F,T,F,T,T
572,M,29,AA,north,taipei,77110,T,T,T,T,T,T,T
883,F,69,AA,north,taipei,26314,T,F,T,F,T,T,T
679,M,28,AA,north,taipei,38409,F,F,F,T,F,T,T
886,F,30,AA,north,taipei,13708,F,F,T,F,F,T,T
591,M,47,AA,north,taipei,42162,F,T,F,T,F,T,T
688,M,30,AA,north,taipei,33252,F,T,F,T,F,T,T
626,M,25,AA,north,taipei,40993,T,T,T,T,T,T,T
268,M,57,BB,north,taipei,69056,F,T,F,T,F,T,T
328,M,67,AA,north,taipei,72088,F,F,T,F,F,T,T
623,M,59,AA,north,taipei,53726,F,T,F,T,F,T,T
226,M,62,AA,east,taitung,14345,T,T,T,T,T,T,T
894,F,50,AA,north,taoyuan,26621,F,F,T,F,F,T,T
900,M,41,AA,north,taoyuan,53332,F,T,F,T,F,T,T
188,M,58,AA,north,taoyuan,69735,F,F,T,F,T,T,T
579,F,49,AA,north,taoyuan,73028,T,F,T,F,T,T,T
220,M,46,AA,north,taoyuan,59918,F,T,F,T,F,T,T
826,F,54,AA,north,taoyuan,61119,F,F,T,F,T,T,T
889,M,58,AA,north,taoyuan,29906,T,T,F,T,F,T,T
833,M,44,EE,north,taoyuan,67399,F,F,T,F,F,T,T
831,F,29,AA,north,taoyuan,49697,T,T,F,T,F,T,T
880,M,44,AA,north,taoyuan,25185,T,T,F,T,F,T,T
273,M,63,BB,north,taoyuan,45075,F,T,F,T,F,T,F
832,M,39,AA,north,taoyuan,35688,F,F,T,F,T,T,T
225,M,24,AA,north,taoyuan,21821,F,F,F,F,T,T,T
651,M,31,MM,east,yilan,58069,F,T,T,T,T,T,T
213,M,21,AA,middle,yunlin,45761,F,T,F,T,F,T,T
525,M,25,AA,middle,changhua,51199,F,F,T,F,T,T,T
116,M,27,AA,middle,changhua,23392,F,F,T,F,T,T,T
258,M,34,BB,middle,changhua,49768,F,T,T,T,T,T,T
838,F,42,AA,middle,changhua,33218,T,F,T,F,T,T,T
243,M,65,BB,middle,changhua,54074,F,T,F,T,F,T,F
796,M,68,BB,middle,changhua,15271,T,F,F,F,F,T,T
800,M,27,BB,middle,changhua,54065,T,F,F,F,F,T,T
797,M,57,BB,middle,changhua,37631,T,T,F,T,F,T,T
529,M,62,AA,middle,changhua,51480,F,T,F,T,F,T,T
795,F,55,AA,middle,changhua,72951,F,F,T,T,T,T,T
798,M,41,BB,middle,changhua,76774,T,F,F,F,F,T,T
108,M,54,BB,middle,changhua,17410,F,F,F,F,T,T,T
56,M,59,AA,middle,changhua,29805,F,T,F,T,F,T,T
259,M,65,BB,middle,changhua,43127,F,T,T,T,T,T,T
538,F,35,AA,middle,changhua,39346,T,F,F,F,F,T,T
807,F,41,BB,middle,chiayi,61877,F,T,F,F,F,T,T
231,M,35,AA,south,chiayi,38638,F,F,T,F,T,T,T
907,F,33,BB,middle,chiayi,12897,T,F,F,F,F,T,T
811,F,22,BB,middle,chiayi,74920,F,T,T,F,T,F,T
926,M,58,BB,middle,chiayi,66417,F,F,T,F,F,T,T
250,M,51,BB,south,chiayi,64484,F,F,T,F,F,T,T
928,M,62,AA,middle,chiayi,16674,F,F,T,F,T,T,T
521,M,32,MM,south,chiayi,61549,T,F,T,F,T,T,T
315,M,34,BB,north,hsinchu,79503,T,T,F,T,T,T,T
378,M,27,BB,north,hsinchu,25058,F,T,T,T,T,T,T
365,M,46,BB,north,hsinchu,46821,T,T,T,T,T,T,T
117,F,34,AA,north,hsinchu,52204,F,F,T,F,T,T,T
343,M,69,BB,north,hsinchu,58022,T,F,F,T,F,F,F
348,M,38,BB,north,hsinchu,71037,T,F,T,T,T,T,T
413,M,42,BB,north,hsinchu,76385,T,F,F,F,F,T,T
312,F,49,AA,north,hsinchu,62017,T,F,F,F,F,T,T
93,M,40,CC,north,hsinchu,22239,F,F,T,F,T,T,T
366,M,60,BB,north,hsinchu,52514,F,T,T,T,T,T,T
588,F,45,EE,north,hsinchu,59677,F,F,T,F,T,T,T
589,F,54,EE,north,hsinchu,73561,F,T,T,T,T,T,T
397,M,55,BB,north,hsinchu,60324,F,F,T,F,T,T,T
358,M,32,BB,north,hsinchu,62355,F,F,T,F,F,T,T
169,M,60,CC,north,hsinchu,13478,F,T,T,T,T,T,T
190,F,25,MM,north,hsinchu,58504,F,F,T,F,F,T,T
299,M,43,CC,north,hsinchu,61505,F,T,F,T,F,T,T
488,M,51,BB,east,hualien,20513,F,F,T,F,F,T,T
662,M,49,BB,east,hualien,50782,F,T,T,T,T,T,T
664,F,25,BB,east,hualien,31243,F,T,T,T,T,T,T
456,M,46,BB,east,hualien,45694,F,T,F,T,F,F,F
760,M,51,BB,east,hualien,31686,F,T,F,T,F,T,T
660,M,36,AA,east,hualien,23513,T,T,F,T,F,T,T
668,M,27,AA,east,hualien,43379,F,F,T,F,T,T,T
759,M,34,NN,east,hualien,43969,T,T,T,T,T,T,T
665,M,37,BB,east,hualien,54607,T,T,T,T,T,F,T
663,M,44,BB,east,hualien,47113,F,T,T,T,T,T,T
661,M,20,BB,east,hualien,76292,T,T,T,T,T,T,F
270,M,57,BB,east,hualien,46312,F,F,T,F,T,T,T
667,M,23,MM,east,hualien,58214,F,T,T,T,T,T,T
669,M,26,AA,east,hualien,46588,F,F,T,T,T,T,F
666,M,24,CC,east,hualien,38574,F,F,T,F,F,F,F
637,M,33,BB,south,kaohsiung,50673,F,F,T,F,T,T,T
948,M,41,BB,south,kaohsiung,66691,T,T,F,T,F,T,T
950,M,26,BB,south,kaohsiung,21498,T,F,F,F,F,T,T
862,M,54,AA,south,kaohsiung,79451,T,F,T,F,T,T,T
867,M,33,AA,south,kaohsiung,23743,F,T,T,F,T,T,T
981,F,24,BB,south,kaohsiung,69527,F,T,F,F,F,T,T
210,M,23,AA,south,kaohsiung,60402,F,F,T,F,F,T,T
92,M,28,BB,south,kaohsiung,30825,F,F,T,T,T,T,T
861,M,39,AA,south,kaohsiung,40487,T,T,T,T,T,T,T
1017,M,21,BB,south,kaohsiung,14664,T,T,F,T,F,T,T
947,M,24,BB,south,kaohsiung,64512,T,T,T,T,T,T,T
1001,M,32,BB,south,kaohsiung,78296,F,T,F,F,F,T,T
251,M,45,BB,south,kaohsiung,75045,F,F,T,F,T,T,T
860,M,33,AA,south,kaohsiung,24851,F,F,T,F,T,T,T
968,M,24,BB,south,kaohsiung,17488,T,T,F,T,F,T,T
959,M,28,BB,south,kaohsiung,15894,F,T,F,F,F,T,T
855,M,47,AA,south,kaohsiung,38623,F,T,F,F,F,T,T
971,M,24,BB,south,kaohsiung,16775,T,F,T,F,T,T,T
963,M,35,BB,south,kaohsiung,73593,F,F,F,T,F,T,T
858,F,61,AA,south,kaohsiung,64887,F,F,T,F,T,T,T
992,M,38,BB,south,kaohsiung,21892,F,T,F,F,F,T,T
969,M,66,BB,south,kaohsiung,41756,F,T,F,F,F,T,T
995,F,34,BB,south,kaohsiung,48385,T,T,F,T,F,T,T
977,M,27,BB,south,kaohsiung,18340,F,T,F,T,F,T,T
200,M,28,AA,south,kaohsiung,37259,T,T,T,T,T,T,T
956,M,37,BB,south,kaohsiung,35793,F,T,F,F,F,T,T
976,M,49,BB,south,kaohsiung,30786,F,T,F,F,F,T,T
954,M,56,BB,south,kaohsiung,29140,F,T,F,T,F,T,T
965,M,54,BB,south,kaohsiung,27039,F,F,F,T,F,T,T
951,M,23,BB,south,kaohsiung,33206,F,T,F,F,F,T,T
247,M,31,BB,south,kaohsiung,54240,T,T,T,T,T,T,T
94,M,54,BB,south,kaohsiung,40705,F,F,T,F,T,F,T
953,M,41,BB,south,kaohsiung,45541,T,F,F,F,F,T,T
1024,M,50,BB,south,kaohsiung,34867,F,T,F,F,F,T,T
1013,M,46,BB,south,kaohsiung,69093,F,F,T,F,T,T,T
640,M,28,AA,south,kaohsiung,73183,F,T,T,F,T,T,T
232,M,35,AA,south,kaohsiung,27981,F,T,F,T,T,T,T
201,M,25,AA,south,kaohsiung,50130,F,F,T,F,F,T,T
997,F,34,BB,south,kaohsiung,21639,T,F,F,F,F,T,T
1022,M,27,BB,south,kaohsiung,59421,F,T,F,F,F,T,T
219,M,60,AA,south,kaohsiung,66808,F,T,F,F,F,T,T
1020,M,44,BB,south,kaohsiung,69335,F,T,F,T,F,T,T
1018,M,60,BB,south,kaohsiung,70193,T,F,F,F,F,T,T
972,M,63,BB,south,kaohsiung,14656,F,T,F,T,F,T,T
865,M,59,AA,south,kaohsiung,46510,F,F,F,F,T,T,T
967,M,36,BB,south,kaohsiung,79347,T,T,F,T,F,T,T
945,M,48,BB,south,kaohsiung,50132,F,F,T,F,F,T,T
989,F,44,BB,south,kaohsiung,34488,T,F,F,F,F,T,T
952,M,28,BB,south,kaohsiung,75520,F,T,T,F,T,T,T
1002,F,59,BB,south,kaohsiung,22468,F,T,F,F,F,T,T
866,M,49,AA,south,kaohsiung,42096,F,F,T,F,F,T,T
999,F,25,BB,south,kaohsiung,72553,T,T,F,T,F,T,T
204,M,34,AA,south,kaohsiung,69859,F,F,T,F,T,T,T
946,M,38,BB,south,kaohsiung,27648,F,T,F,F,F,T,T
978,M,43,BB,south,kaohsiung,62605,F,T,T,F,T,T,T
218,M,32,AA,south,kaohsiung,61618,F,T,F,F,F,T,T
987,F,46,BB,south,kaohsiung,51146,F,T,F,F,F,T,T
962,M,65,BB,south,kaohsiung,52681,T,F,F,F,F,T,T
1023,F,27,BB,south,kaohsiung,43521,F,T,F,T,F,T,T
986,M,25,BB,south,kaohsiung,17607,T,T,F,T,F,T,T
985,F,39,BB,south,kaohsiung,21627,T,F,F,F,F,T,T
1000,F,43,BB,south,kaohsiung,39486,F,T,F,T,F,T,T
964,M,37,BB,south,kaohsiung,17488,F,T,F,T,F,T,T
990,M,20,BB,south,kaohsiung,59655,T,T,F,T,F,T,T
98,M,52,BB,south,kaohsiung,47920,F,T,T,T,T,F,F
982,F,48,BB,south,kaohsiung,18652,T,F,F,F,F,T,T
983,F,27,BB,south,kaohsiung,33544,T,F,F,F,F,T,T
1021,M,51,BB,south,kaohsiung,58607,F,T,F,T,F,T,T
144,F,53,AA,south,kaohsiung,19358,F,T,F,T,F,F,F
993,F,68,BB,south,kaohsiung,33338,F,T,T,F,T,T,T
996,F,58,BB,south,kaohsiung,26014,F,F,F,T,F,T,T
958,M,60,BB,south,kaohsiung,60281,F,T,F,F,F,T,T
970,M,43,BB,south,kaohsiung,32714,F,T,F,T,F,T,T
264,M,26,BB,south,kaohsiung,25327,F,F,T,F,F,T,F
385,M,45,BB,south,kaohsiung,19863,T,T,F,T,F,T,T
864,M,43,BB,south,kaohsiung,15840,F,T,F,T,F,T,T
998,F,33,BB,south,kaohsiung,40903,T,T,F,T,F,T,T
277,M,70,BB,south,kaohsiung,67055,F,T,T,F,T,T,T
955,M,60,BB,south,kaohsiung,18280,F,F,F,T,F,T,T
636,M,44,BB,south,kaohsiung,48366,T,F,F,F,F,T,T
101,M,65,BB,south,kaohsiung,48462,F,F,T,F,T,T,T
966,M,67,BB,south,kaohsiung,40299,T,F,F,F,F,T,T
638,M,58,BB,south,kaohsiung,59022,F,T,T,T,T,T,T
994,M,56,BB,south,kaohsiung,61353,F,T,F,T,F,T,T
960,M,37,BB,south,kaohsiung,69095,T,F,F,F,F,T,T
975,M,23,BB,south,kaohsiung,40918,T,F,F,F,F,T,T
1019,M,48,BB,south,kaohsiung,41321,F,T,F,F,F,T,T
863,M,25,BB,south,kaohsiung,23736,F,F,T,F,T,F,F
961,M,28,BB,south,kaohsiung,52349,T,F,F,F,F,T,T
988,F,65,BB,south,kaohsiung,23992,T,T,F,T,F,T,T
949,M,41,BB,south,kaohsiung,67919,F,T,F,F,F,T,T
143,M,55,EE,south,kaohsiung,12561,F,T,F,F,F,T,T
979,M,40,BB,south,kaohsiung,70493,T,F,F,F,F,T,T
984,M,65,BB,south,kaohsiung,15551,F,T,F,T,F,T,T
840,M,46,BB,south,kaohsiung,36643,T,T,F,T,F,T,T
105,M,27,BB,south,kaohsiung,56587,F,T,F,T,F,T,T
104,M,68,BB,south,kaohsiung,60730,F,F,T,F,F,T,T
957,M,29,BB,south,kaohsiung,64940,T,T,T,T,T,T,T
932,M,54,CC,south,kaohsiung,79527,T,T,T,T,T,T,T
161,M,28,EE,south,kaohsiung,52426,T,T,T,T,T,T,T
641,M,50,EE,south,kaohsiung,79532,F,F,T,F,F,T,T
145,M,65,FF,south,kaohsiung,48346,F,T,F,F,F,T,T
148,F,43,FF,south,kaohsiung,69169,F,T,F,F,F,T,T
531,M,45,FF,south,kaohsiung,42277,F,F,T,F,T,T,T
239,F,46,FF,south,kaohsiung,39231,F,F,T,F,F,F,F
639,M,47,LL,south,kaohsiung,42843,F,T,F,T,F,T,T
1003,F,40,LL,south,kaohsiung,61488,F,T,T,F,T,T,T
564,M,27,EE,north,keelung,79803,F,T,F,F,F,T,T
577,M,54,EE,north,keelung,41881,F,T,F,F,F,T,F
57,F,58,AA,north,keelung,33102,F,F,T,F,T,T,T
563,M,45,JJ,north,keelung,39066,F,T,T,F,T,T,T
124,M,46,AA,north,keelung,71361,F,T,T,T,T,T,T
576,M,49,BB,north,keelung,48056,F,T,F,T,F,T,T
393,M,34,BB,north,keelung,31839,F,T,F,F,F,T,T
570,M,26,CC,north,keelung,58315,F,T,F,F,F,F,F
571,M,55,CC,north,keelung,46708,T,F,T,F,T,T,F
569,M,36,BB,north,keelung,71284,F,T,F,F,F,T,T
724,M,48,BB,north,keelung,21520,F,T,T,F,T,T,T
567,F,69,EE,north,keelung,52813,F,F,T,F,F,T,T
347,M,29,BB,north,keelung,20122,F,T,F,F,T,T,T
7,M,33,LL,north,keelung,79153,F,F,T,F,T,T,T
725,M,41,AA,north,keelung,63975,F,F,T,T,T,T,T
763,F,38,FF,middle,miaoli,38102,F,F,T,F,F,T,T
335,M,67,AA,middle,miaoli,70238,T,F,T,F,T,T,T
356,M,65,BB,middle,miaoli,62989,F,T,T,T,T,T,T
764,M,67,FF,middle,miaoli,18449,T,T,F,T,F,T,T
338,M,66,BB,middle,miaoli,30649,F,T,T,T,T,T,T
766,M,42,BB,middle,miaoli,26869,F,F,T,F,F,T,T
330,F,53,AA,middle,miaoli,62168,F,F,T,F,F,T,T
762,M,61,AA,middle,miaoli,26107,F,T,T,T,T,T,T
524,M,32,AA,middle,miaoli,68049,F,T,T,T,T,T,T
770,M,36,BB,middle,miaoli,50607,T,F,T,F,T,T,T
769,F,40,FF,middle,miaoli,34659,F,T,F,T,F,T,T
361,M,28,BB,middle,miaoli,12408,T,F,F,F,T,T,T
767,F,39,FF,middle,miaoli,13954,F,F,F,T,F,T,T
334,M,46,AA,middle,miaoli,64033,T,F,F,F,T,T,T
403,M,62,BB,middle,miaoli,53051,T,T,T,T,T,T,T
630,M,69,BB,middle,miaoli,22723,F,T,T,T,T,T,T
329,M,55,CC,middle,miaoli,29749,T,T,T,T,T,T,T
930,M,31,BB,middle,nantou,44979,T,T,F,T,F,T,T
929,M,21,BB,middle,nantou,37706,F,T,T,T,T,T,T
249,F,59,AA,middle,nantou,71354,T,F,F,F,T,T,T
941,F,40,EE,middle,nantou,70628,F,F,T,F,T,T,T
205,M,67,AA,middle,nantou,17311,F,T,T,T,T,T,T
238,M,22,AA,middle,nantou,36807,F,F,T,F,T,T,T
943,M,24,EE,middle,nantou,14503,T,T,T,T,T,T,T
123,M,46,AA,south,penghu,78556,F,T,T,T,T,T,T
272,M,45,BB,south,penghu,46333,F,T,F,T,F,T,T
342,F,39,BB,south,penghu,77462,F,T,F,T,F,T,T
876,M,36,BB,south,penghu,46615,T,T,F,T,F,T,T
643,M,55,BB,south,pingtumg,47230,F,T,F,F,F,F,F
973,M,31,AA,south,pingtumg,16989,T,T,T,T,T,T,T
158,F,20,AA,south,pingtumg,12264,F,F,T,F,F,T,T
642,M,44,JJ,south,pingtumg,68745,F,T,T,F,T,T,T
146,F,30,AA,south,pingtumg,60703,F,F,T,F,T,T,T
152,F,41,EE,south,pingtumg,29889,T,F,T,F,T,F,F
159,M,21,AA,south,pingtumg,78049,F,T,F,F,F,T,T
85,M,22,BB,south,pingtumg,25271,F,F,T,F,T,T,T
458,M,48,BB,south,pingtumg,46557,F,T,F,F,F,T,T
