1 Q-E,2 ZN-E,3 PH-E,4 DBO-E,5 DQO-E,6 SS-E,7 SSV-E,8 SED-E,9 COND-E,10 PH-P,11 DBO-P,12 SS-P,13 SSV-P,14 SED-P,15 COND-P,16 PH-D,17 DBO-D,18 DQO-D,19 SS-D,20 SSV-D,21 SED-D,22 COND-D,23 PH-S,24 DBO-S,25 DQO-S,26 SS-S,27 SSV-S,28 SED-S,29 COND-S,30 RD-DBO-P,31 RD-SS-P,32 RD-SED-P,33 RD-DBO-S,34 RD-DQO-S,35 RD-DBO-G,36 RD-DQO-G,37 RD-SS-G,38 RD-SED-G,D-1/3/90
35198.00 ,0.8,7.70 ,185,372,164.00 ,61.00 ,3.00 ,1623.00 ,7.80 ,210,192.00 ,64.60 ,3.00 ,1508.00 ,7.80 ,124,278.00 ,74.00 ,72.90 ,0.10 ,1482.00 ,7.90 ,18,78.00 ,15.00 ,66.70 ,0.00 ,1491.00 ,41,61.50 ,96.70 ,85.5,71.9,90.3,79,90.90 ,100.00 ,D-1/5/90
34579.00 ,2.5,8.30 ,261,592,216.00 ,71.30 ,7.50 ,1663.00 ,8.40 ,244,256.00 ,72.70 ,8.00 ,1685.00 ,8.20 ,163,400.00 ,170.00 ,77.60 ,3.50 ,1680.00 ,7.80 ,24,47.00 ,13.00 ,92.90 ,0.02 ,1848.00 ,33.2,33.60 ,56.30 ,85.3,88.3,90.8,92.1,94.00 ,99.70 ,D-1/5/91
46669.00 ,1.75,7.80 ,0.00 ,340,168.00 ,71.40 ,2.30 ,1477.00 ,7.80 ,0.00 ,228.00 ,64.90 ,4.50 ,1379.00 ,7.80 ,0.00 ,368.00 ,110.00 ,72.70 ,0.60 ,1550.00 ,7.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1445.00 ,0.00 ,51.80 ,86.70 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,68.20 ,D-1/6/90
27333.00 ,2,7.60 ,238,348,174.00 ,64.40 ,3.50 ,1110.00 ,7.60 ,372,124.00 ,75.80 ,2.50 ,1105.00 ,7.40 ,172,364.00 ,104.00 ,78.80 ,1.00 ,1171.00 ,7.40 ,44,210.00 ,73.00 ,81.10 ,1.50 ,1256.00 ,53.8,16.10 ,60.00 ,74.4,42.3,81.5,39.7,58.00 ,57.10 ,D-1/7/90
35760.00 ,1.77,7.60 ,115,295,182.00 ,51.60 ,25.00 ,1400.00 ,7.70 ,125,166.00 ,55.40 ,19.00 ,1418.00 ,7.80 ,98,225.00 ,84.00 ,81.00 ,1.00 ,1396.00 ,7.70 ,19,58.00 ,19.00 ,84.20 ,0.05 ,1316.00 ,21.6,49.40 ,94.70 ,80.6,74.2,83.5,80.3,89.60 ,99.80 ,D-1/7/91
42046.00 ,1.95,7.80 ,255,282,166.00 ,67.50 ,2.00 ,950.00 ,7.80 ,284,172.00 ,65.10 ,2.00 ,965.00 ,7.80 ,164,259.00 ,112.00 ,76.80 ,0.50 ,971.00 ,7.90 ,13,56.00 ,20.00 ,80.00 ,0.02 ,1093.00 ,42.3,34.90 ,75.00 ,92.1,78.4,94.9,80.1,88.00 ,99.00 ,D-1/8/90
31524.00 ,1.6,7.90 ,0.00 ,478,204.00 ,64.70 ,6.00 ,1798.00 ,7.90 ,0.00 ,214.00 ,66.40 ,7.20 ,1814.00 ,7.90 ,0.00 ,365.00 ,120.00 ,70.00 ,2.50 ,1713.00 ,7.80 ,0.00 ,90.00 ,21.00 ,85.70 ,0.05 ,1568.00 ,0.00 ,43.90 ,65.30 ,0.00 ,75.3,0.00 ,81.2,89.70 ,99.20 ,D-1/8/91
38055.00 ,3.5,7.80 ,221,524,188.00 ,72.30 ,5.00 ,1540.00 ,7.90 ,0.00 ,252.00 ,77.80 ,4.50 ,1477.00 ,7.80 ,128,299.00 ,82.00 ,90.20 ,0.20 ,1506.00 ,7.50 ,29,136.00 ,39.00 ,83.70 ,0.02 ,1503.00 ,0.00 ,67.50 ,95.60 ,77.3,54.5,86.9,74,79.30 ,99.60 ,D-10/1/90
34277.00 ,1.5,8.20 ,133,531,220.00 ,73.60 ,7.00 ,1514.00 ,8.20 ,207,288.00 ,65.30 ,11.00 ,1535.00 ,8.00 ,92,257.00 ,72.00 ,72.20 ,0.40 ,1476.00 ,7.70 ,11,83.00 ,17.00 ,73.50 ,0.01 ,1429.00 ,55.6,75.00 ,96.80 ,88,67.7,91.7,84.4,92.30 ,99.90 ,D-10/1/91
45903.00 ,1.3,8.00 ,90,271,144.00 ,66.70 ,4.50 ,1221.00 ,8.00 ,110,164.00 ,70.70 ,3.00 ,1209.00 ,7.80 ,78,179.00 ,74.00 ,73.00 ,0.20 ,1266.00 ,7.70 ,10,41.00 ,14.00 ,74.30 ,0.05 ,1283.00 ,29.1,54.90 ,95.00 ,87.2,77.1,88.9,84.9,90.30 ,98.90 ,D-10/10/90
33545.00 ,1.3,8.20 ,145,747,310.00 ,55.50 ,6.00 ,1059.00 ,8.20 ,181,264.00 ,53.00 ,4.70 ,1056.00 ,8.10 ,118,353.00 ,110.00 ,65.50 ,1.00 ,1082.00 ,7.70 ,15,100.00 ,18.00 ,77.80 ,0.02 ,1210.00 ,34.8,58.30 ,78.70 ,87.3,71.7,89.7,86.6,94.20 ,99.70 ,D-10/12/90
33714.00 ,2.65,8.40 ,228,473,200.00 ,74.00 ,0.00 ,1542.00 ,8.30 ,224,280.00 ,69.30 ,0.00 ,1546.00 ,8.10 ,146,335.00 ,106.00 ,81.10 ,0.00 ,1658.00 ,7.70 ,31,117.00 ,22.00 ,90.90 ,0.00 ,1645.00 ,34.8,62.10 ,0.00 ,78.8,65.1,86.4,75.3,89.00 ,68.20 ,D-10/2/91
44548.00 ,1.4,7.90 ,218,272,216.00 ,40.70 ,0.00 ,1360.00 ,7.90 ,261,236.00 ,44.10 ,0.00 ,1328.00 ,7.80 ,154,213.00 ,100.00 ,64.00 ,0.00 ,1427.00 ,7.70 ,16,101.00 ,18.00 ,84.40 ,0.00 ,1514.00 ,41,57.60 ,0.00 ,89.6,52.6,92.7,62.9,91.70 ,68.20 ,D-10/3/91
34299.00 ,3,7.80 ,210,725,350.00 ,41.70 ,5.00 ,1265.00 ,7.80 ,238,428.00 ,42.10 ,7.50 ,1262.00 ,7.80 ,136,306.00 ,106.00 ,47.20 ,0.40 ,1287.00 ,7.60 ,21,94.00 ,18.00 ,66.70 ,0.02 ,1309.00 ,42.9,75.20 ,94.70 ,84.6,69.3,90,87,94.90 ,99.60 ,D-10/4/90
33773.00 ,4.07,7.90 ,233,506,222.00 ,72.10 ,4.50 ,1410.00 ,7.90 ,328,242.00 ,68.60 ,5.80 ,1366.00 ,7.90 ,201,388.00 ,102.00 ,84.30 ,0.40 ,1589.00 ,7.70 ,18,90.00 ,16.00 ,93.80 ,0.02 ,1461.00 ,38.7,57.90 ,93.90 ,91,76.8,92.3,82.2,92.80 ,99.60 ,D-10/4/91
41746.00 ,1,8.00 ,352,471,208.00 ,65.40 ,5.50 ,2150.00 ,7.90 ,386,216.00 ,64.80 ,5.50 ,2320.00 ,7.60 ,198,348.00 ,118.00 ,74.60 ,0.50 ,2290.00 ,7.50 ,24,91.00 ,32.00 ,84.40 ,0.00 ,2290.00 ,48.7,45.40 ,91.80 ,87.9,73.9,93.2,80.7,84.60 ,100.00 ,D-10/5/90
57629.00 ,3.7,7.30 ,80,204,180.00 ,32.20 ,1.80 ,940.00 ,7.40 ,84,198.00 ,34.30 ,1.50 ,912.00 ,7.50 ,45,125.00 ,74.00 ,45.90 ,0.30 ,863.00 ,7.40 ,10,51.00 ,10.00 ,80.00 ,0.00 ,683.00 ,46.4,62.60 ,80.00 ,77.8,59.2,87.5,75,94.40 ,100.00 ,D-10/5/91
35789.00 ,1.5,7.40 ,316,533,264.00 ,54.50 ,5.50 ,1361.00 ,7.40 ,352,344.00 ,46.50 ,6.50 ,1453.00 ,7.50 ,190,361.00 ,160.00 ,51.30 ,1.50 ,1518.00 ,7.50 ,39,150.00 ,54.00 ,74.10 ,0.10 ,1506.00 ,46,53.50 ,76.90 ,79.5,58.4,87.7,71.9,79.50 ,98.20 ,D-10/6/90
30614.00 ,0.92,7.70 ,146,313,168.00 ,64.30 ,4.30 ,1019.00 ,7.70 ,173,246.00 ,58.50 ,5.90 ,1020.00 ,7.70 ,116,183.00 ,124.00 ,64.50 ,0.20 ,1034.00 ,7.60 ,16,59.00 ,15.00 ,80.00 ,0.00 ,1056.00 ,32.9,49.60 ,96.60 ,86.2,67.8,89,81.2,91.10 ,100.00 ,D-10/6/91
39590.00 ,5,7.80 ,144,361,220.00 ,53.60 ,4.50 ,1790.00 ,7.80 ,112,236.00 ,54.20 ,3.30 ,1760.00 ,7.80 ,53,239.00 ,78.00 ,64.10 ,0.20 ,1710.00 ,7.60 ,14,74.00 ,20.00 ,70.00 ,0.00 ,1660.00 ,52.7,66.90 ,93.80 ,73.6,69,90.3,79.5,90.90 ,100.00 ,D-10/7/90
32334.00 ,19.1,7.60 ,179,461,298.00 ,55.70 ,5.00 ,1340.00 ,7.60 ,225,212.00 ,63.20 ,5.50 ,1395.00 ,7.50 ,111,307.00 ,84.00 ,76.20 ,0.20 ,1292.00 ,7.40 ,20,125.00 ,24.00 ,78.30 ,0.01 ,1300.00 ,50.7,60.40 ,96.40 ,82,59.3,88.8,72.9,91.90 ,99.80 ,D-10/7/91
44207.00 ,1.2,7.80 ,70,188,112.00 ,48.20 ,1.30 ,1031.00 ,7.90 ,125,194.00 ,41.20 ,2.80 ,1074.00 ,7.90 ,44,101.00 ,54.00 ,61.10 ,0.20 ,1064.00 ,8.00 ,12,53.00 ,16.00 ,62.50 ,0.00 ,1056.00 ,64.8,72.20 ,94.50 ,72.7,47.5,82.9,71.8,85.70 ,100.00 ,D-10/8/90
34064.00 ,1,8.10 ,230,535,242.00 ,66.90 ,6.50 ,1652.00 ,7.90 ,0.00 ,264.00 ,69.70 ,5.40 ,1700.00 ,7.90 ,174,322.00 ,100.00 ,72.00 ,0.30 ,1577.00 ,7.50 ,28,101.00 ,36.00 ,83.30 ,0.05 ,1552.00 ,0.00 ,62.10 ,94.40 ,83.9,68.6,87.8,81.1,85.10 ,99.20 ,D-11/1/90
41451.00 ,0.5,8.00 ,131,384,154.00 ,74.00 ,4.50 ,1260.00 ,8.10 ,189,298.00 ,75.20 ,6.50 ,1300.00 ,8.00 ,114,273.00 ,80.00 ,80.00 ,0.30 ,1367.00 ,7.80 ,18,95.00 ,19.00 ,84.20 ,0.01 ,1443.00 ,39.7,73.20 ,96.20 ,84.2,65.2,86.3,75.3,87.70 ,100.00 ,D-11/1/91
33623.00 ,0.5,7.80 ,135,366,240.00 ,49.20 ,4.50 ,1344.00 ,7.70 ,149,354.00 ,45.80 ,7.00 ,1274.00 ,7.70 ,112,220.00 ,110.00 ,60.00 ,0.20 ,1182.00 ,7.80 ,29,84.00 ,23.00 ,81.70 ,0.02 ,1144.00 ,24.8,68.90 ,97.10 ,74.1,61.8,78.5,77,90.40 ,99.60 ,D-11/10/91
47032.00 ,1.5,8.20 ,139,294,256.00 ,40.60 ,3.00 ,1456.00 ,8.10 ,140,260.00 ,38.50 ,2.50 ,1361.00 ,8.00 ,81,172.00 ,90.00 ,55.60 ,0.20 ,1504.00 ,7.70 ,11,55.00 ,14.00 ,71.40 ,0.00 ,1751.00 ,42.1,65.40 ,92.00 ,86.4,68,92.1,81.3,94.50 ,100.00 ,D-11/11/90
28791.00 ,1.09,8.70 ,354,539,232.00 ,68.10 ,5.50 ,1620.00 ,8.40 ,0.00 ,178.00 ,70.80 ,2.50 ,1677.00 ,8.40 ,114,356.00 ,130.00 ,78.50 ,1.50 ,1529.00 ,7.90 ,14,67.00 ,17.00 ,82.40 ,0.01 ,1359.00 ,0.00 ,27.00 ,40.00 ,87.7,81.2,96,87.6,92.70 ,99.80 ,D-11/12/90
36332.00 ,3.5,7.90 ,120,455,184.00 ,67.40 ,4.00 ,1224.00 ,8.10 ,205,188.00 ,68.10 ,5.50 ,1217.00 ,7.70 ,168,333.00 ,90.00 ,77.80 ,0.20 ,1353.00 ,7.60 ,24,98.00 ,32.00 ,81.30 ,0.00 ,1420.00 ,18,52.10 ,96.40 ,85.7,70.6,80,78.5,82.60 ,100.00 ,D-11/2/90
29660.00 ,1.99,8.00 ,223,521,208.00 ,74.00 ,5.30 ,1585.00 ,8.00 ,230,200.00 ,75.00 ,5.00 ,1555.00 ,7.90 ,158,327.00 ,120.00 ,75.00 ,1.10 ,1597.00 ,9.70 ,21,0.00 ,17.00 ,88.20 ,0.02 ,1708.00 ,31.3,40.00 ,78.00 ,86.7,0.00 ,90.6,0.00 ,91.80 ,100.00 ,D-11/2/91
36107.00 ,5,7.70 ,215,489,334.00 ,40.70 ,6.00 ,1613.00 ,7.60 ,0.00 ,304.00 ,53.90 ,8.00 ,1557.00 ,7.60 ,181,350.00 ,90.00 ,71.10 ,0.40 ,1596.00 ,7.50 ,17,162.00 ,18.00 ,66.70 ,0.00 ,1606.00 ,0.00 ,70.40 ,95.60 ,90.6,53.7,92.1,66.9,94.60 ,100.00 ,D-11/3/90
36792.00 ,0.7,7.90 ,168,303,148.00 ,66.20 ,2.50 ,1069.00 ,8.00 ,158,158.00 ,65.80 ,3.00 ,1070.00 ,7.90 ,92,248.00 ,74.00 ,86.50 ,0.40 ,1150.00 ,7.70 ,16,78.00 ,12.00 ,83.30 ,0.00 ,1244.00 ,41.8,53.20 ,88.30 ,82.6,68.5,90.5,74.3,91.90 ,100.00 ,D-11/3/91
41073.00 ,0.8,8.10 ,166,422,184.00 ,63.00 ,3.00 ,1450.00 ,8.00 ,118,280.00 ,65.70 ,3.50 ,1429.00 ,8.10 ,119,323.00 ,114.00 ,70.20 ,0.40 ,1419.00 ,7.80 ,26,81.00 ,22.00 ,76.40 ,0.02 ,1357.00 ,0.00 ,59.30 ,88.60 ,78.2,74.9,84.3,80.8,88.00 ,99.30 ,D-11/4/90
33666.00 ,2.7,7.60 ,237,494,204.00 ,71.60 ,5.50 ,1187.00 ,7.70 ,241,224.00 ,65.20 ,5.00 ,1248.00 ,7.60 ,164,341.00 ,102.00 ,84.30 ,0.70 ,1350.00 ,7.60 ,24,71.00 ,57.00 ,88.20 ,0.05 ,1312.00 ,32,54.50 ,86.00 ,85.4,79.2,89.9,85.6,72.10 ,99.10 ,D-11/4/91
43291.00 ,0.8,7.70 ,215,447,164.00 ,61.00 ,5.50 ,1177.00 ,7.70 ,258,256.00 ,53.10 ,5.00 ,1207.00 ,7.90 ,141,285.00 ,86.00 ,69.80 ,0.20 ,1324.00 ,7.70 ,19,75.00 ,32.00 ,77.10 ,0.02 ,1390.00 ,45.3,66.40 ,96.00 ,86.5,73.7,91.2,83.2,80.50 ,99.60 ,D-11/5/90
40106.00 ,0.6,7.80 ,238,504,292.00 ,58.90 ,6.50 ,1109.00 ,7.80 ,361,352.00 ,51.10 ,7.00 ,1113.00 ,7.80 ,147,256.00 ,128.00 ,65.60 ,0.80 ,1113.00 ,8.00 ,19,80.00 ,20.00 ,70.00 ,0.05 ,1238.00 ,59.3,63.60 ,88.60 ,87.1,68.8,92,84.1,93.20 ,99.20 ,D-11/6/90
42859.00 ,12.5,7.80 ,161,326,268.00 ,44.80 ,4.50 ,1570.00 ,7.90 ,152,208.00 ,54.80 ,5.00 ,1640.00 ,7.90 ,76,173.00 ,74.00 ,64.90 ,0.20 ,1690.00 ,7.80 ,23,111.00 ,26.00 ,76.90 ,0.00 ,1720.00 ,50,64.40 ,97.00 ,69.7,35.8,85.7,66,90.30 ,100.00 ,D-11/7/90
35178.00 ,3.7,7.70 ,159,396,154.00 ,68.80 ,3.00 ,1440.00 ,7.80 ,159,184.00 ,67.40 ,3.10 ,1520.00 ,7.80 ,105,295.00 ,82.00 ,83.00 ,0.20 ,1415.00 ,7.70 ,23,109.00 ,30.00 ,86.70 ,0.01 ,1479.00 ,34,55.40 ,93.50 ,78.1,63.1,85.5,72.5,80.50 ,99.70 ,D-11/7/91
30848.00 ,0.2,7.70 ,142,376,144.00 ,70.80 ,3.00 ,940.00 ,7.60 ,129,164.00 ,69.50 ,7.50 ,918.00 ,7.60 ,0.00 ,255.00 ,86.00 ,79.10 ,0.20 ,933.00 ,7.80 ,9,57.00 ,14.00 ,82.90 ,0.02 ,947.00 ,0.00 ,47.60 ,97.30 ,0.00 ,77.6,93.7,84.8,90.30 ,99.30 ,D-11/8/91
43377.00 ,6.5,7.60 ,176,200,176.00 ,50.00 ,3.00 ,859.00 ,7.60 ,149,172.00 ,51.20 ,2.00 ,860.00 ,7.60 ,90,178.00 ,76.00 ,65.80 ,0.20 ,926.00 ,7.70 ,13,45.00 ,18.00 ,68.90 ,0.02 ,1020.00 ,39.6,55.80 ,90.00 ,85.6,74.7,92.6,77.5,89.80 ,99.30 ,D-11/9/90
31447.00 ,3.5,7.90 ,190,374,192.00 ,70.80 ,6.50 ,1494.00 ,7.80 ,204,184.00 ,71.10 ,4.50 ,1462.00 ,7.70 ,121,259.00 ,100.00 ,82.00 ,0.50 ,1562.00 ,7.50 ,21,108.00 ,22.00 ,84.10 ,0.05 ,1596.00 ,40.7,45.70 ,88.90 ,82.6,58.3,88.9,71.1,88.50 ,99.20 ,D-12/1/90
44343.00 ,1.25,8.00 ,169,327,126.00 ,68.30 ,2.50 ,1940.00 ,8.10 ,172,180.00 ,77.80 ,2.50 ,1950.00 ,7.80 ,106,272.00 ,78.00 ,79.50 ,0.20 ,1886.00 ,7.90 ,15,93.00 ,17.00 ,72.90 ,0.02 ,1891.00 ,38.4,56.70 ,92.00 ,85.8,65.8,91.1,71.6,86.50 ,99.20 ,D-12/10/90
30927.00 ,0.4,7.80 ,184,424,366.00 ,51.90 ,6.50 ,1365.00 ,7.70 ,167,304.00 ,50.70 ,6.00 ,1384.00 ,7.80 ,75,212.00 ,88.00 ,72.70 ,0.20 ,1353.00 ,7.70 ,13,64.00 ,15.00 ,80.00 ,0.02 ,1374.00 ,55.1,71.10 ,96.70 ,82.7,69.8,92.9,84.9,95.90 ,99.70 ,D-12/10/91
41372.00 ,1.58,7.80 ,119,220,128.00 ,62.50 ,1.50 ,1444.00 ,7.90 ,117,138.00 ,55.10 ,1.20 ,1493.00 ,7.90 ,91,161.00 ,76.00 ,68.40 ,0.30 ,1391.00 ,7.90 ,7,45.00 ,9.00 ,84.40 ,0.01 ,1431.00 ,22.2,44.90 ,75.00 ,92.3,72,94.1,79.5,93.00 ,99.30 ,D-12/11/90
27219.00 ,1.5,8.30 ,302,566,212.00 ,69.80 ,5.70 ,2270.00 ,8.30 ,319,216.00 ,68.50 ,6.30 ,2240.00 ,8.10 ,0.00 ,475.00 ,144.00 ,73.60 ,1.70 ,2200.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,33.30 ,73.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,68.20 ,D-12/12/90
32484.00 ,0.9,7.50 ,0.00 ,388,170.00 ,76.50 ,3.50 ,1130.00 ,7.60 ,0.00 ,178.00 ,75.30 ,4.00 ,1149.00 ,7.70 ,164,310.00 ,102.00 ,82.40 ,0.20 ,1212.00 ,7.50 ,22,89.00 ,33.00 ,90.90 ,0.05 ,1274.00 ,0.00 ,42.70 ,96.30 ,86.6,71.3,0.00 ,77.1,80.60 ,98.60 ,D-12/2/90
31749.00 ,10.7,8.10 ,247,525,264.00 ,71.20 ,6.30 ,1606.00 ,8.20 ,230,262.00 ,67.90 ,7.00 ,1598.00 ,8.10 ,148,339.00 ,126.00 ,74.60 ,0.80 ,1564.00 ,7.80 ,24,0.00 ,21.00 ,85.70 ,0.05 ,1455.00 ,35.7,51.90 ,88.60 ,83.8,0.00 ,90.3,0.00 ,92.00 ,99.20 ,D-12/2/91
29156.00 ,2.5,7.70 ,206,451,194.00 ,69.10 ,4.50 ,1249.00 ,7.70 ,206,220.00 ,61.80 ,4.00 ,1219.00 ,7.70 ,111,282.00 ,124.00 ,77.40 ,0.30 ,1233.00 ,7.50 ,16,118.00 ,19.00 ,84.20 ,0.03 ,1338.00 ,46.1,43.60 ,92.50 ,85.6,58.2,92.2,73.8,90.20 ,99.40 ,D-12/3/90
36410.00 ,1.6,8.00 ,173,396,242.00 ,57.00 ,6.80 ,1879.00 ,8.10 ,253,210.00 ,63.80 ,6.30 ,1916.00 ,7.90 ,85,341.00 ,108.00 ,66.70 ,0.70 ,1761.00 ,7.70 ,21,70.00 ,18.00 ,88.90 ,0.03 ,1605.00 ,66.4,48.60 ,88.80 ,75.3,79.5,87.9,82.3,92.60 ,99.60 ,D-12/3/91
39715.00 ,0.6,7.80 ,241,539,212.00 ,70.80 ,5.50 ,1338.00 ,7.90 ,232,218.00 ,67.00 ,5.50 ,1403.00 ,7.90 ,160,353.00 ,92.00 ,80.40 ,0.20 ,1427.00 ,7.80 ,20,81.00 ,13.00 ,92.30 ,0.00 ,1364.00 ,31,57.80 ,96.40 ,87.5,77.1,91.7,85,93.90 ,100.00 ,D-12/4/91
48110.00 ,1,7.70 ,179,340,150.00 ,53.30 ,0.00 ,1509.00 ,7.70 ,168,198.00 ,48.50 ,0.00 ,1517.00 ,7.60 ,108,163.00 ,60.00 ,66.70 ,0.00 ,1568.00 ,7.20 ,14,96.00 ,10.00 ,72.00 ,0.00 ,1548.00 ,35.7,69.70 ,0.00 ,87,41.1,92.2,71.8,93.30 ,68.20 ,D-12/5/91
45191.00 ,2,8.00 ,125,324,362.00 ,35.90 ,5.00 ,1093.00 ,7.70 ,297,804.00 ,32.80 ,13.00 ,1086.00 ,7.90 ,84,204.00 ,124.00 ,53.20 ,0.60 ,1105.00 ,7.90 ,28,128.00 ,14.00 ,74.30 ,0.02 ,1008.00 ,71.7,84.60 ,95.40 ,66.7,37.3,77.6,60.5,96.10 ,99.60 ,D-12/6/90
33239.00 ,2.5,7.80 ,217,591,264.00 ,66.70 ,7.50 ,1234.00 ,7.70 ,227,500.00 ,52.80 ,8.50 ,1219.00 ,7.80 ,135,338.00 ,132.00 ,66.70 ,0.30 ,1294.00 ,7.70 ,17,84.00 ,27.00 ,77.80 ,0.02 ,1247.00 ,40.5,73.60 ,97.10 ,87.4,75.1,92.2,85.8,89.80 ,99.70 ,D-12/6/91
36325.00 ,2.5,7.70 ,135,304,222.00 ,46.80 ,3.50 ,1087.00 ,7.70 ,135,250.00 ,55.20 ,3.50 ,1143.00 ,7.80 ,107,260.00 ,96.00 ,72.90 ,0.20 ,1162.00 ,7.90 ,14,96.00 ,18.00 ,68.90 ,0.00 ,1169.00 ,20.7,61.60 ,94.30 ,86.9,63.1,89.6,68.4,91.90 ,100.00 ,D-12/7/90
